Cancer_Sites,MSA,MSA_Code,Count,Population
Bones and Joints,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,17.0,58004334.0
Bones and Joints,Other,99999.0,890.0,
Brain and Other Nervous System,"Boston-Cambridge-Newton, MA-NH",14460.0,156.0,14427183.0
Brain and Other Nervous System,"Chicago-Naperville-Elgin, IL-IN-WI",16980.0,286.0,28600986.0
Brain and Other Nervous System,"Cincinnati, OH-KY-IN",17140.0,18.0,4383144.0
Brain and Other Nervous System,"Columbus, OH",18140.0,17.0,4104384.0
Brain and Other Nervous System,"Dallas-Fort Worth-Arlington, TX",19100.0,199.0,21584274.0
Brain and Other Nervous System,"Detroit-Warren-Dearborn, MI",19820.0,33.0,12948780.0
Brain and Other Nervous System,"Houston-The Woodlands-Sugar Land, TX",26420.0,105.0,13613006.0
Brain and Other Nervous System,"Los Angeles-Long Beach-Anaheim, CA",31080.0,440.0,39812082.0
Brain and Other Nervous System,"Miami-Fort Lauderdale-West Palm Beach, FL",33100.0,134.0,18167058.0
Brain and Other Nervous System,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,933.0,58004334.0
Brain and Other Nervous System,Other,99999.0,7820.0,
Brain and Other Nervous System,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,187.0,18199983.0
Brain and Other Nervous System,"Phoenix-Mesa-Scottsdale, AZ",38060.0,72.0,9346672.0
Brain and Other Nervous System,"Pittsburgh, PA",38300.0,18.0,4680444.0
Brain and Other Nervous System,"Riverside-San Bernardino-Ontario, CA",40140.0,16.0,9024082.0
Brain and Other Nervous System,"San Diego-Carlsbad, CA",41740.0,33.0,6612178.0
Brain and Other Nervous System,"San Francisco-Oakland-Hayward, CA",41860.0,62.0,14064594.0
Brain and Other Nervous System,"Seattle-Tacoma-Bellevue, WA",42660.0,52.0,11449065.0
Brain and Other Nervous System,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900.0,33.0,18447903.0
Colon and Rectum,"Akron, OH",10420.0,179.0,1407048.0
Colon and Rectum,"Albany-Schenectady-Troy, NY",10580.0,340.0,1759584.0
Colon and Rectum,"Albuquerque, NM",10740.0,202.0,1818474.0
Colon and Rectum,"Allentown-Bethlehem-Easton, PA-NJ",10900.0,326.0,1666326.0
