Cancer_Sites,MSA,MSA_Code,Count,Population,5-Year_Conditional_Relative_Survival,Cases Per million People
Bones and Joints,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,17.0,58004334.0,0.912,0.29308154800984354
Bones and Joints,Other,99999.0,890.0,0.0,0.912,0.0
Brain and Other Nervous System,"Boston-Cambridge-Newton, MA-NH",14460.0,156.0,14427183.0,0.842,10.812921690949647
Brain and Other Nervous System,"Chicago-Naperville-Elgin, IL-IN-WI",16980.0,286.0,28600986.0,0.842,9.999655256640454
Brain and Other Nervous System,"Cincinnati, OH-KY-IN",17140.0,18.0,4383144.0,0.842,4.10664126024607
Brain and Other Nervous System,"Columbus, OH",18140.0,17.0,4104384.0,0.842,4.141912647549548
Brain and Other Nervous System,"Dallas-Fort Worth-Arlington, TX",19100.0,199.0,21584274.0,0.842,9.21967539885752
Brain and Other Nervous System,"Detroit-Warren-Dearborn, MI",19820.0,33.0,12948780.0,0.842,2.5485026388586416
Brain and Other Nervous System,"Houston-The Woodlands-Sugar Land, TX",26420.0,105.0,13613006.0,0.842,7.713211909257955
Brain and Other Nervous System,"Los Angeles-Long Beach-Anaheim, CA",31080.0,440.0,39812082.0,0.842,11.051921374019074
Brain and Other Nervous System,"Miami-Fort Lauderdale-West Palm Beach, FL",33100.0,134.0,18167058.0,0.842,7.375987900737697
Brain and Other Nervous System,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,933.0,58004334.0,0.842,16.08500495842259
Brain and Other Nervous System,Other,99999.0,7820.0,0.0,0.842,0.0
Brain and Other Nervous System,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,187.0,18199983.0,0.842,10.2747348720051
Brain and Other Nervous System,"Phoenix-Mesa-Scottsdale, AZ",38060.0,72.0,9346672.0,0.842,7.703276631511194
Brain and Other Nervous System,"Pittsburgh, PA",38300.0,18.0,4680444.0,0.842,3.8457889892497383
Brain and Other Nervous System,"Riverside-San Bernardino-Ontario, CA",40140.0,16.0,9024082.0,0.842,1.7730335340481171
Brain and Other Nervous System,"San Diego-Carlsbad, CA",41740.0,33.0,6612178.0,0.842,4.990791233992793
Brain and Other Nervous System,"San Francisco-Oakland-Hayward, CA",41860.0,62.0,14064594.0,0.842,4.408232473685341
Brain and Other Nervous System,"Seattle-Tacoma-Bellevue, WA",42660.0,52.0,11449065.0,0.842,4.541855601308928
Brain and Other Nervous System,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900.0,33.0,18447903.0,0.842,1.7888212009787778
Colon and Rectum,"Akron, OH",10420.0,179.0,1407048.0,0.902,127.21669765352709
Colon and Rectum,"Albany-Schenectady-Troy, NY",10580.0,340.0,1759584.0,0.902,193.22749013403168
Colon and Rectum,"Albuquerque, NM",10740.0,202.0,1818474.0,0.902,111.08214909863986
Colon and Rectum,"Allentown-Bethlehem-Easton, PA-NJ",10900.0,326.0,1666326.0,0.902,195.63998881371353
Colon and Rectum,"Atlanta-Sandy Springs-Roswell, GA",12060.0,2304.0,11575930.0,0.902,199.03368455061494
Colon and Rectum,"Austin-Round Rock, TX",12420.0,509.0,4124032.0,0.902,123.4229026350911
Colon and Rectum,"Bakersfield, CA",12540.0,50.0,1761712.0,0.902,28.381483466082994
Colon and Rectum,"Baltimore-Columbia-Towson, MD",12580.0,994.0,5588222.0,0.902,177.87410736366593
Colon and Rectum,"Baton Rouge, LA",12940.0,64.0,1713446.0,0.902,37.351629406470934
Colon and Rectum,"Birmingham-Hoover, AL",13820.0,245.0,2165754.0,0.902,113.12457462851273
Colon and Rectum,"Boise City, ID",14260.0,115.0,1382570.0,0.902,83.17842857866147
Colon and Rectum,"Boston-Cambridge-Newton, MA-NH",14460.0,1660.0,14427183.0,0.902,115.06057696779753
Colon and Rectum,"Bridgeport-Stamford-Norwalk, CT",14860.0,232.0,1888694.0,0.902,122.83620321767316
Colon and Rectum,"Buffalo-Cheektowaga-Niagara Falls, NY",15380.0,452.0,2260464.0,0.902,199.9589464817843
Colon and Rectum,"Cape Coral-Fort Myers, FL",15980.0,255.0,1445298.0,0.902,176.43420249664774
Colon and Rectum,"Charleston-North Charleston, SC",16700.0,54.0,1523156.0,0.902,35.45270477876199
Colon and Rectum,"Charlotte-Concord-Gastonia, NC-SC",16740.0,703.0,4999394.0,0.902,140.61704278558562
Colon and Rectum,"Chattanooga, TN-GA",16860.0,54.0,1103718.0,0.902,48.92554076312971
Colon and Rectum,"Chicago-Naperville-Elgin, IL-IN-WI",16980.0,4114.0,28600986.0,0.902,143.84119484552036
Colon and Rectum,"Cincinnati, OH-KY-IN",17140.0,901.0,4383144.0,0.902,205.56020974898385
Colon and Rectum,"Cleveland-Elyria, OH",17460.0,787.0,4121994.0,0.902,190.92701250899444
Colon and Rectum,"Columbia, SC",17900.0,36.0,1634376.0,0.902,22.026755165274086
Colon and Rectum,"Columbus, OH",18140.0,606.0,4104384.0,0.902,147.64700378911917
Colon and Rectum,"Dallas-Fort Worth-Arlington, TX",19100.0,2085.0,21584274.0,0.902,96.59810656591924
Colon and Rectum,"Dayton-Kettering, OH",19430.0,236.0,1603322.0,0.902,147.1943876526362
Colon and Rectum,"Deltona-Daytona Beach-Ormond Beach, FL",19660.0,306.0,1271718.0,0.902,240.61938259897244
Colon and Rectum,"Denver-Aurora-Lakewood, CO",19740.0,764.0,5713510.0,0.902,133.71815223916647
Colon and Rectum,"Des Moines-West Des Moines, IA",19780.0,91.0,1342110.0,0.902,67.80368226151359
Colon and Rectum,"Detroit-Warren-Dearborn, MI",19820.0,1883.0,12948780.0,0.902,145.41910512032794
Colon and Rectum,"El Paso, TX",21340.0,78.0,1678406.0,0.902,46.472665135849134
Colon and Rectum,"Fayetteville-Springdale-Rogers, AR-MO",22220.0,73.0,1007612.0,0.902,72.44852185166513
Colon and Rectum,"Fresno, CA",23420.0,156.0,1953660.0,0.902,79.85012745308805
Colon and Rectum,"Grand Rapids-Wyoming, MI",24340.0,205.0,2109420.0,0.902,97.18311194546368
Colon and Rectum,"Greensboro-High Point, NC",24660.0,80.0,1517270.0,0.902,52.72627811793551
Colon and Rectum,"Greenville-Anderson-Mauldin, SC",24860.0,244.0,1768654.0,0.902,137.9580177920611
Colon and Rectum,"Harrisburg-Carlisle, PA",25420.0,108.0,1135020.0,0.902,95.15250832584448
Colon and Rectum,"Hartford-West Hartford-East Hartford, CT",25540.0,419.0,2417190.0,0.902,173.34177288504418
Colon and Rectum,"Houston-The Woodlands-Sugar Land, TX",26420.0,1940.0,13613006.0,0.902,142.5107724186708
Colon and Rectum,"Indianapolis-Carmel-Anderson, IN",26900.0,667.0,4013520.0,0.902,166.18828360142717
Colon and Rectum,"Jacksonville, FL",27260.0,464.0,2952046.0,0.902,157.17912254754836
Colon and Rectum,"Knoxville, TN",28940.0,301.0,1689884.0,0.902,178.11873477706163
Colon and Rectum,"Lakeland-Winter Haven, FL",29460.0,169.0,1331646.0,0.902,126.91060537109712
Colon and Rectum,"Lancaster, PA",29540.0,99.0,1076320.0,0.902,91.9800802735246
Colon and Rectum,"Lansing-East Lansing, MI",29620.0,32.0,1090292.0,0.902,29.349935613578747
Colon and Rectum,"Las Vegas-Henderson-Paradise, NV",29820.0,611.0,4277672.0,0.902,142.83470074376905
Colon and Rectum,"Lexington-Fayette, KY",30460.0,20.0,1014774.0,0.902,19.70882186575533
Colon and Rectum,"Little Rock-North Little Rock-Conway, AR",30780.0,105.0,1468332.0,0.902,71.5097130621685
Colon and Rectum,"Los Angeles-Long Beach-Anaheim, CA",31080.0,4351.0,39812082.0,0.902,109.28843158717498
Colon and Rectum,"Louisville-Jefferson County, KY-IN",31140.0,482.0,2505050.0,0.902,192.4113291151873
Colon and Rectum,"Madison, WI",31540.0,50.0,1296776.0,0.902,38.557160218881286
Colon and Rectum,"McAllen-Edinburg-Mission, TX",32580.0,75.0,1697920.0,0.902,44.17169242367131
Colon and Rectum,"Memphis, TN-MS-AR",32820.0,424.0,2672408.0,0.902,158.65840844661446
