"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	54
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	34
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	71
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	49
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	111
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	49
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	171
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	83
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	235
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	141
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	29
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	329
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	27
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	229
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	31
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	359
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	43
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	356
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	41
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	430
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	61
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	514
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	39
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	466
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	51
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	590
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	38
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	379
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	31
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	415
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	24
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	309
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	23
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	305
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	181
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	197
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	21
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	241
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	211
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	18
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	36
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	46
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	25
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	59
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	39
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	75
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	53
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	129
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	99
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	148
